PRICE,PLATFORM,GENDER,REGION,AGE
39,android,male,bra,17
39,android,male,bra,17
49,android,male,bra,17
29,android,male,tur,17
49,android,male,tur,17
29,android,male,bra,17
19,android,male,bra,17
59,android,male,bra,17
49,android,male,bra,17
19,android,male,bra,17
49,android,male,bra,17
39,android,male,bra,17
19,android,male,bra,17
49,android,male,bra,17
39,android,male,bra,17
49,android,male,bra,17
29,android,male,bra,17
29,android,female,usa,26
9,android,female,usa,26
49,ios,female,bra,26
19,ios,female,bra,26
29,ios,female,bra,26
49,ios,female,bra,26
49,ios,female,bra,26
19,android,female,usa,23
19,android,female,usa,23
39,android,female,usa,23
29,android,female,usa,23
19,android,female,usa,23
49,android,female,usa,23
49,android,female,usa,23
49,android,female,usa,23
29,android,female,usa,23
39,android,female,can,15
59,android,female,bra,19
39,android,female,bra,19
29,android,female,bra,19
49,android,female,bra,19
49,android,female,bra,19
29,android,male,usa,21
49,android,male,usa,21
49,android,male,usa,21
39,android,female,deu,16
19,android,female,deu,16
29,android,female,deu,16
19,android,female,deu,16
29,android,female,deu,16
49,android,female,usa,35
49,android,female,usa,35
19,android,female,usa,26
29,android,female,usa,26
59,android,female,usa,26
29,android,female,usa,26
39,android,female,usa,26
39,android,female,usa,26
29,ios,female,bra,23
19,ios,female,bra,23
49,ios,female,bra,23
19,ios,male,tur,42
39,ios,male,tur,42
39,ios,male,tur,42
19,ios,male,tur,42
29,ios,male,tur,42
19,ios,male,tur,42
19,ios,male,tur,42
49,ios,male,tur,42
9,ios,male,tur,42
29,ios,male,tur,42
39,android,male,usa,17
19,android,male,usa,17
49,android,male,usa,17
39,ios,male,usa,15
9,ios,male,usa,15
49,ios,male,usa,15
39,ios,male,usa,15
39,ios,male,usa,15
19,ios,male,usa,15
59,ios,male,usa,15
29,ios,male,usa,15
39,ios,male,usa,15
29,ios,male,usa,15
39,ios,male,usa,15
19,ios,male,usa,15
39,ios,male,usa,15
39,ios,male,usa,15
49,android,male,deu,15
39,android,male,deu,15
49,android,male,bra,40
29,android,male,bra,40
49,android,male,bra,40
49,android,male,bra,40
9,android,male,bra,40
49,android,female,usa,49
49,android,female,usa,49
49,android,female,usa,49
19,android,female,usa,49
29,android,female,usa,49
29,android,female,tur,17
49,android,female,tur,17
29,android,female,tur,17
39,android,female,tur,17
9,android,female,tur,17
